full_date,date,weekday,time,mood,activities,scales,note_title,note
2026-08-02,August 2,Sunday,1:16 PM,good,"","Energy: Low 2/5","",""
2026-08-01,August 1,Saturday,7:00 PM,good,"","","",""
2026-08-01,August 1,Saturday,2:03 PM,meh,"","","",""
2026-07-31,July 31,Friday,10:13 AM,meh,"","Energy: Low 2/5","",""
2026-07-30,July 30,Thursday,7:00 PM,meh,"","","",""
2026-07-30,July 30,Thursday,12:30 PM,good,"","Energy: Low 2/5","",""
2026-07-30,July 30,Thursday,9:06 AM,good,"","Energy: OK 3/5","",""
2026-07-29,July 29,Wednesday,10:35 PM,good,"","Energy: OK 3/5","",""
2026-07-29,July 29,Wednesday,11:58 AM,good,"","","",""
2026-07-28,July 28,Tuesday,7:09 PM,meh,"","","",""
2026-07-28,July 28,Tuesday,1:07 PM,good,"","","",""
2026-07-28,July 28,Tuesday,9:05 AM,good,"","Energy: Low 2/5","",""
2026-07-27,July 27,Monday,7:27 PM,rad,"friends | Mason","","",""
2026-07-27,July 27,Monday,9:00 AM,good,"","","",""
2026-07-26,July 26,Sunday,9:01 PM,good,"","","",""
2026-07-26,July 26,Sunday,2:09 PM,good,"","Energy: Exhausted 1/5","",""
2026-07-26,July 26,Sunday,10:45 AM,good,"","Energy: Low 2/5","",""
2026-07-25,July 25,Saturday,8:31 PM,good,"","Energy: Exhausted 1/5","","I am so tired after today!"
2026-07-25,July 25,Saturday,2:06 PM,rad,"","","",""
2026-07-25,July 25,Saturday,10:31 AM,rad,"Mason","Energy: OK 3/5","",""
2026-07-24,July 24,Friday,8:04 PM,rad,"Mason","","","Mason lives here now!"
2026-07-24,July 24,Friday,9:00 AM,good,"","Energy: OK 3/5","",""
2026-07-23,July 23,Thursday,12:34 PM,good,"Jeff","","",""
2026-07-23,July 23,Thursday,9:34 AM,meh,"","Energy: Low 2/5","",""
2026-07-22,July 22,Wednesday,7:15 PM,meh,"","Energy: Low 2/5","",""
2026-07-22,July 22,Wednesday,12:16 PM,good,"Jeff","","",""
2026-07-21,July 21,Tuesday,7:02 PM,good,"","","",""
2026-07-21,July 21,Tuesday,9:02 AM,good,"","Energy: OK 3/5","",""
2026-07-20,July 20,Monday,7:13 PM,good,"","Energy: OK 3/5","",""
2026-07-20,July 20,Monday,2:23 PM,good,"","Energy: High 4/5","",""
2026-07-20,July 20,Monday,9:00 AM,meh,"","Energy: Exhausted 1/5","",""
2026-07-19,July 19,Sunday,7:00 PM,rad,"Mason","","",""
2026-07-18,July 18,Saturday,7:00 PM,rad,"","","",""
2026-07-17,July 17,Friday,2:22 PM,meh,"","Energy: Low 2/5","",""
2026-07-17,July 17,Friday,9:00 AM,bad,"","Energy: Exhausted 1/5","",""
2026-07-16,July 16,Thursday,7:46 PM,good,"","Energy: Low 2/5","",""
2026-07-16,July 16,Thursday,1:01 PM,meh,"","Energy: Exhausted 1/5","",""
2026-07-16,July 16,Thursday,9:50 AM,meh,"","","",""
2026-07-15,July 15,Wednesday,7:05 PM,good,"","Energy: OK 3/5","",""
2026-07-15,July 15,Wednesday,9:05 AM,meh,"","Energy: Low 2/5","",""
2026-07-14,July 14,Tuesday,8:03 PM,good,"Mason","Energy: OK 3/5","",""
2026-07-14,July 14,Tuesday,9:09 AM,meh,"","Energy: Low 2/5","",""
2026-07-13,July 13,Monday,8:46 PM,bad,"","","",""
2026-07-13,July 13,Monday,12:30 PM,good,"","","",""
2026-07-12,July 12,Sunday,7:21 PM,good,"","","",""
2026-07-12,July 12,Sunday,12:35 PM,good,"","","",""
2026-07-12,July 12,Sunday,9:01 AM,good,"","","",""
2026-07-11,July 11,Saturday,7:13 PM,good,"Mason","","",""
2026-07-10,July 10,Friday,8:08 PM,good,"Bryan","","",""
2026-07-10,July 10,Friday,9:07 AM,bad,"","Energy: Exhausted 1/5","",""
2026-07-09,July 9,Thursday,9:37 PM,bad,"","Energy: Low 2/5","",""
2026-07-09,July 9,Thursday,7:26 PM,meh,"","","",""
2026-07-09,July 9,Thursday,10:52 AM,meh,"","Energy: Low 2/5","",""
2026-07-08,July 8,Wednesday,7:09 PM,meh,"","","",""
2026-07-07,July 7,Tuesday,7:00 PM,good,"Mason","","",""
2026-07-07,July 7,Tuesday,9:30 AM,meh,"","Energy: Exhausted 1/5","","Feeling sick "
2026-07-06,July 6,Monday,9:30 PM,meh,"","","",""
2026-07-06,July 6,Monday,3:04 PM,bad,"","","","I'm not sure if this is post vacation blues or what, but I feel so crappy. Mason will soon be moving in which I'm looking forward to, but have no motivation to do anything to prepare for that."
2026-07-06,July 6,Monday,2:03 PM,meh,"","","",""
2026-07-06,July 6,Monday,9:06 AM,good,"","","",""
2026-07-05,July 5,Sunday,10:40 PM,meh,"","","",""
2026-07-05,July 5,Sunday,12:31 PM,rad,"Mason","","",""
2026-07-04,July 4,Saturday,7:01 PM,rad,"Mason","","",""
2026-07-04,July 4,Saturday,9:25 AM,good,"","","",""
